H_km,n_He,n_O,n_N2,n_O2,n_Ar,n_H,n_N,n_Anomal_O,T_K,rho
0,1.26E+20,0.00E+00,1.88E+25,5.04E+24,2.25E+23,0.00E+00,0.00E+00,0.00E+00,3.00E+02,1.16E+00
20,1.02E+19,0.00E+00,1.52E+24,4.09E+23,1.82E+22,0.00E+00,0.00E+00,0.00E+00,2.06E+02,9.37E-02
40,4.38E+17,0.00E+00,6.53E+22,1.75E+22,7.81E+20,0.00E+00,0.00E+00,0.00E+00,2.57E+02,4.02E-03
60,3.55E+16,0.00E+00,5.29E+21,1.42E+21,6.33E+19,0.00E+00,0.00E+00,0.00E+00,2.45E+02,3.26E-04
80,2.07E+15,3.71E+15,3.00E+20,7.66E+19,3.56E+18,2.53E+13,8.61E+10,8.53E-51,1.98E+02,1.83E-05
100,1.16E+14,5.22E+17,9.60E+18,2.00E+18,9.71E+16,1.89E+13,3.76E+11,7.28E-37,1.88E+02,5.73E-07
120,3.08E+13,9.27E+16,3.36E+17,3.95E+16,1.49E+15,3.47E+12,1.77E+12,5.52E-27,3.65E+02,2.03E-08
140,1.83E+13,2.73E+16,5.38E+16,3.84E+15,1.26E+14,8.82E+11,9.45E+12,8.98E-19,6.10E+02,3.44E-09
160,1.39E+13,1.31E+16,1.72E+16,9.29E+14,2.64E+13,3.46E+11,2.73E+13,4.12E-12,7.59E+02,1.20E-09
180,1.16E+13,7.47E+15,7.08E+15,3.22E+14,7.67E+12,2.01E+11,4.18E+13,5.33E-07,8.53E+02,5.46E-10
200,1.00E+13,4.67E+15,3.27E+15,1.31E+14,2.61E+12,1.53E+11,4.31E+13,4.43E-03,9.11E+02,2.84E-10
220,8.91E+12,3.06E+15,1.62E+15,5.81E+13,9.73E+11,1.33E+11,3.64E+13,4.48E+00,9.49E+02,1.61E-10
240,8.00E+12,2.07E+15,8.36E+14,2.71E+13,3.84E+11,1.23E+11,2.82E+13,8.94E+02,9.73E+02,9.60E-11
260,7.24E+12,1.43E+15,4.44E+14,1.31E+13,1.58E+11,1.17E+11,2.10E+13,5.14E+04,9.88E+02,5.97E-11
280,6.59E+12,9.94E+14,2.40E+14,6.48E+12,6.69E+10,1.13E+11,1.56E+13,1.14E+06,9.98E+02,3.83E-11
300,6.01E+12,7.00E+14,1.32E+14,3.27E+12,2.90E+10,1.10E+11,1.15E+13,1.20E+07,1.00E+03,2.52E-11
320,5.50E+12,4.96E+14,7.35E+13,1.67E+12,1.28E+10,1.07E+11,8.60E+12,7.22E+07,1.01E+03,1.69E-11
340,5.04E+12,3.54E+14,4.13E+13,8.66E+11,5.75E+09,1.05E+11,6.45E+12,2.81E+08,1.01E+03,1.16E-11
360,4.62E+12,2.54E+14,2.35E+13,4.54E+11,2.61E+09,1.02E+11,4.86E+12,7.85E+08,1.01E+03,7.99E-12
380,4.24E+12,1.83E+14,1.34E+13,2.40E+11,1.20E+09,1.00E+11,3.68E+12,1.69E+09,1.01E+03,5.60E-12
400,3.90E+12,1.32E+14,7.74E+12,1.28E+11,5.61E+08,9.79E+10,2.79E+12,3.00E+09,1.02E+03,3.96E-12
420,3.59E+12,9.56E+13,4.50E+12,6.90E+10,2.64E+08,9.59E+10,2.13E+12,4.57E+09,1.02E+03,2.83E-12
440,3.30E+12,6.96E+13,2.63E+12,3.74E+10,1.25E+08,9.38E+10,1.63E+12,6.21E+09,1.02E+03,2.03E-12
460,3.04E+12,5.08E+13,1.55E+12,2.05E+10,6.00E+07,9.19E+10,1.25E+12,7.70E+09,1.02E+03,1.47E-12
480,2.80E+12,3.72E+13,9.15E+11,1.13E+10,2.90E+07,9.00E+10,9.59E+11,8.92E+09,1.02E+03,1.07E-12
500,2.58E+12,2.73E+13,5.44E+11,6.24E+09,1.41E+07,8.81E+10,7.39E+11,9.81E+09,1.02E+03,7.85E-13
520,2.38E+12,2.01E+13,3.26E+11,3.48E+09,6.90E+06,8.64E+10,5.71E+11,1.04E+10,1.02E+03,5.78E-13
540,2.20E+12,1.48E+13,1.96E+11,1.95E+09,3.40E+06,8.46E+10,4.42E+11,1.06E+10,1.02E+03,4.29E-13
560,2.03E+12,1.10E+13,1.18E+11,1.10E+09,1.69E+06,8.29E+10,3.43E+11,1.06E+10,1.02E+03,3.19E-13
580,1.88E+12,8.17E+12,7.19E+10,6.24E+08,8.42E+05,8.12E+10,2.67E+11,1.04E+10,1.02E+03,2.39E-13
600,1.74E+12,6.08E+12,4.38E+10,3.55E+08,4.23E+05,7.96E+10,2.08E+11,1.01E+10,1.02E+03,1.80E-13
620,1.61E+12,4.54E+12,2.68E+10,2.04E+08,2.13E+05,7.81E+10,1.62E+11,9.69E+09,1.02E+03,1.36E-13
640,1.49E+12,3.40E+12,1.65E+10,1.17E+08,1.08E+05,7.65E+10,1.27E+11,9.22E+09,1.02E+03,1.04E-13
660,1.38E+12,2.55E+12,1.02E+10,6.78E+07,5.52E+04,7.50E+10,9.91E+10,8.72E+09,1.02E+03,7.98E-14
680,1.28E+12,1.92E+12,6.33E+09,3.94E+07,2.83E+04,7.36E+10,7.78E+10,8.20E+09,1.02E+03,6.16E-14
700,1.18E+12,1.45E+12,3.94E+09,2.30E+07,1.46E+04,7.22E+10,6.11E+10,7.70E+09,1.02E+03,4.80E-14
720,1.10E+12,1.09E+12,2.46E+09,1.34E+07,7.54E+03,7.08E+10,4.81E+10,7.20E+09,1.02E+03,3.76E-14
740,1.02E+12,8.27E+11,1.54E+09,7.91E+06,3.92E+03,6.94E+10,3.80E+10,6.73E+09,1.02E+03,2.98E-14
760,9.45E+11,6.28E+11,9.72E+08,4.67E+06,2.05E+03,6.81E+10,3.00E+10,6.28E+09,1.02E+03,2.38E-14
780,8.78E+11,4.78E+11,6.14E+08,2.77E+06,1.07E+03,6.68E+10,2.37E+10,5.85E+09,1.02E+03,1.92E-14
800,8.16E+11,3.64E+11,3.89E+08,1.65E+06,5.65E+02,6.56E+10,1.88E+10,5.45E+09,1.02E+03,1.57E-14
820,7.58E+11,2.78E+11,2.47E+08,9.83E+05,2.99E+02,6.44E+10,1.49E+10,5.07E+09,1.02E+03,1.29E-14
840,7.05E+11,2.13E+11,1.58E+08,5.89E+05,1.59E+02,6.32E+10,1.19E+10,4.72E+09,1.02E+03,1.07E-14
860,6.56E+11,1.63E+11,1.01E+08,3.54E+05,8.47E+01,6.20E+10,9.45E+09,4.40E+09,1.02E+03,9.03E-15
880,6.11E+11,1.26E+11,6.47E+07,2.14E+05,4.53E+01,6.09E+10,7.54E+09,4.09E+09,1.02E+03,7.67E-15
900,5.69E+11,9.68E+10,4.16E+07,1.29E+05,2.44E+01,5.98E+10,6.02E+09,3.81E+09,1.02E+03,6.59E-15
